Entity_ID,Canonical_Name,Entity_Type,Parent_Company,Match_Keywords,Match_Strategy,Category,Active,Notes,Estimated_Tons
ORCA-001,Orca Sand and Gravel,Aggregates,,ORCA SAND,Contains,All,True,Canadian aggregates producer,5600000
BAHAMA-ROCK-001,Bahama Rock,Aggregates,,BAHAMA ROCK,Contains,All,True,Bahamas aggregates producer,3600000
GLACIER-001,Glacier Northwest,Aggregates,CalPortland,GLACIER NORTHWEST,Contains,All,True,CalPortland subsidiary - aggregates,3200000
ONTARIO-TRAP-001,Ontario Trap Rock,Aggregates,,ONTARIO TRAP ROCK,Contains,All,True,Aggregates producer,1453578
EMIRATES-001,Emirates Aluminium (EGA),Aluminum,Emirates Global Aluminium,EMIRATES ALUMINIUM;EGA,Contains,All,True,UAE aluminum producer,12000000
DUBAI-001,Dubai Aluminium,Aluminum,Emirates Global Aluminium,DUBAI ALUMINIUM,Contains,All,True,UAE aluminum producer - may be same as EGA,4000000
ATALCO-001,Atalco Gramercy,Aluminum,Rusal,ATALCO GRAMERCY,Contains,All,True,Rusal US aluminum operations,4000000
TOYOTA-001,Toyota Motor,Automotive,Toyota Motor Corporation,TOYOTA MOTOR,Contains,All,True,Japanese automaker - includes Toyota Motor Corp and Toyota Motor Sales,4229868
GM-001,General Motors,Automotive,,GENERAL MOTORS,Contains_All,All,True,US automaker,1175733
MAZDA-001,Mazda Motor,Automotive,Mazda Motor Corporation,MAZDA MOTOR,Contains,All,True,Japanese automaker,1153386
MERCEDES-001,Mercedes-Benz USA,Automotive,Mercedes-Benz Group,MERCEDES BENZ;MERCEDES-BENZ,Contains,All,True,German automaker US operations,951053
KIA-001,Kia Motors America,Automotive,Hyundai Motor Group,KIA MOTORS,Contains_All,All,True,Korean automaker - use Contains_All to avoid matching KIA alone,763376
MEDCEM-001,Medcem Global,Cement,,MEDCEM,Contains,All,True,Turkish cement producer,3100000
GRUPO-MEDINA-001,Grupo Medina,Cement,,GRUPO MEDINA,Contains,All,True,Mexican cement producer,1800000
CEMEX-001,Cemex,Cement/Aggregates,Cemex,CEMEX,Contains,All,True,Mexican cement/aggregates giant,3300000
LAFARGE-001,Lafarge North America,Cement/Aggregates,Holcim,LAFARGE,Contains,All,True,Major cement/aggregates producer - now part of Holcim,2647299
HOUSTON-CEMENT-001,Houston Cement,Cement/Aggregates,,HOUSTON CEMENT,Contains_All,Consignee,True,Houston area cement operations,2300928
HOLLINGSHEAD-001,Hollingshead Cement,Cement/Aggregates,,HOLLINGSHEAD,Contains,Consignee,True,Cement operations,2192906
ST-MARYS-001,St. Marys Cement,Cement/Aggregates,Votorantim,ST. MARY;ST MARY;SAINT MARY,Contains,All,True,Canadian cement producer - Votorantim subsidiary,2091917
ARGOS-001,Argos USA,Cement/Aggregates,Grupo Argos,ARGOS USA;ARGOS CEMENT,Contains,Consignee,True,Colombian cement producer - US operations,2031040
SESCO-001,Sesco Cement,Cement/Aggregates,,SESCO CEMENT,Contains_All,Consignee,True,Cement operations,1930373
TAIHEIYO-001,Taiheiyo Cement,Cement/Aggregates,,TAIHEIYO CEMENT,Contains,Shipper,True,Japanese cement producer,1889043
TITAN-001,Titan Cement,Cement/Aggregates,Titan Cement Group,TITAN CEMENT,Contains_All,Shipper,True,Greek cement producer - use Contains_All to avoid Titan America matches,1877782
HM-SOUTHEAST-001,Heidelberg Materials Southeast,Cement/Aggregates,Heidelberg Materials,HM SOUTHEAST CEMENT,Contains,Consignee,True,Heidelberg Materials southeast US operations,1707718
ASH-GROVE-001,Ash Grove Cement,Cement/Aggregates,CRH,ASH GROVE,Contains_All,Consignee,True,Major US cement producer - now CRH subsidiary,1561861
HEIDELBERG-001,Heidelberg Materials,Cement/Aggregates,Heidelberg Materials,HEIDELBERG,Contains,All,True,German cement/aggregates giant,912400
CELANESE-001,Celanese,Chemicals,Celanese Corporation,CELANESE,Contains,All,True,Chemical manufacturer - Mexico and Europe entities,9000000
DOW-001,Dow Chemical,Chemicals,Dow Inc.,DOW CHEMICAL,Contains_All,All,True,Major chemical manufacturer,1118881
SABIC-001,SABIC Americas,Chemicals,SABIC,SABIC,Contains,All,True,Saudi petrochemicals giant,919123
RELIANCE-001,Reliance Industries,Chemicals/Refining,Reliance Industries,RELIANCE INDUSTRIES,Contains,All,True,Indian conglomerate - petrochemicals,3200000
DRUMMOND-001,Drummond,Coal Mining,Drummond Company,DRUMMOND,Contains,All,True,Major US coal producer/exporter,2500000
MARTIN-001,Martin Marietta,Construction Materials,Martin Marietta,MARTIN MARIETTA,Contains_All,All,True,Requires BOTH tokens - not Martin Gas or Martin Wine,13000000
VULCAN-001,Vulcan Materials,Construction Materials,Vulcan Materials Company,VULCAN,Contains,All,True,Largest US aggregates producer,3000000
MOSAIC-001,Mosaic,Fertilizer,The Mosaic Company,MOSAIC FERTILIZER,Contains,All,True,Phosphate fertilizer producer,5000000
YARA-001,Yara North America,Fertilizer,Yara International,YARA,Contains,Consignee,True,Norwegian fertilizer producer,1680780
ADM-001,Archer Daniels Midland,Grain,ADM,ARCHER DANIELS MIDLAND,Contains,All,True,Major grain trader and processor,1088661
COPPERSMITH-001,Coppersmith Global Logistics,Logistics,,COPPERSMITH,Contains,All,True,Freight forwarding and logistics,4500000
GREEN-WORLDWIDE-001,Green Worldwide Shipping,Logistics,,GREEN WORLDWIDE SHIPPING,Contains,All,True,Freight forwarding and customs brokerage,3300000
EBROKERAGE-001,eBrokerage Service,Logistics,,EBROKERAGE,Contains,All,True,Customs brokerage services,2700000
BLUE-WATER-001,Blue Water Industries,Logistics,,BLUE WATER INDUSTRIES,Contains,All,True,Freight forwarding and logistics,1800000
BIEHL-001,Biehl & Co,Logistics,,BIEHL,Contains,All,True,Customs brokerage and freight forwarding,1600000
BR-ANDERSON-001,B.R. Anderson & Co,Logistics,,B.R. ANDERSON;BR ANDERSON,Contains,All,True,Customs brokerage services,1400000
COMPANIA-MINERA-001,Compania Minera,Mining,,COMPANIA MINERA,Contains,Shipper,True,Mining companies - may need sub-entities,8000000
DISCOVERY-001,Discovery Bauxite,Mining,,DISCOVERY BAUXITE,Contains,All,True,Bauxite mining operations,4000000
SOCIEDAD-LOBOS-001,Sociedad Punta de Lobos,Mining,,PUNTA DE LOBOS,Contains,All,True,Chilean mining company,2500000
VALE-001,Vale,Mining,Vale S.A.,VALE,Contains,All,True,Brazilian mining giant - iron ore,2200000
IRON-ORE-001,Iron Ore Company of Canada,Mining,Rio Tinto,IRON ORE CO;IRON ORE COMPANY,Contains,All,True,Rio Tinto subsidiary - iron ore Quebec,2200000
SAMARCO-001,Samarco Mineracao,Mining,Vale/BHP JV,SAMARCO,Contains,Shipper,True,Brazilian iron ore miner - Vale/BHP JV,2022059
GMB-KOREA-001,GMB Korea Industries,Mining,,GMB KOREA,Contains_All,All,True,Korean mineral products company,828838
CHEVRON-001,Chevron,Oil & Gas,Chevron Corporation,CHEVRON,Contains,All,True,Multiple business units - combine all Chevron entities,40000000
ECOPETROL-001,Ecopetrol,Oil & Gas,Ecopetrol,ECOPETROL,Contains,All,True,Colombian state oil company,22000000
EXXONMOBIL-001,ExxonMobil,Oil & Gas,Exxon Mobil Corporation,EXXONMOBIL;EXXON MOBIL,Contains,All,True,Chemicals and petroleum - many variants,20000000
PDVSA-001,PDVSA,Oil & Gas,Venezuelan Government,PDVSA,Contains,All,True,Venezuelan state oil company,8000000
PETROPIAR-001,Petropiar,Oil & Gas,PDVSA/Chevron JV,PETROPIAR,Contains,All,True,Venezuela heavy oil JV - multiple address variants,6000000
ARAMCO-001,Aramco Americas,Oil & Gas,Saudi Aramco,ARAMCO AMERICAS,Contains,All,True,Saudi Aramco US marketing entity,6000000
BP-001,BP,Oil & Gas,BP plc,BP PRODUCTS,Contains,All,True,British petroleum major,5000000
PETROBRAS-001,Petrobras,Oil & Gas,Petroleo Brasileiro,PETROBRAS;PETROLEO BRASILEIRO,Contains,All,True,Brazilian state oil company,4000000
SHELL-001,Shell,Oil & Gas,Shell plc,SHELL WESTERN;SHELL TRADING,Contains,All,True,Shell trading and supply entities,3500000
SUNCOR-001,Suncor Energy,Oil & Gas,Suncor Energy,SUNCOR ENERGY,Contains,All,True,Canadian oil sands producer,3000000
PUERTO-RICO-001,Puerto Rico Energy,Oil & Gas,,PUERTO RICO ENERGY,Contains,All,True,Puerto Rico energy company,2900000
HERITAGE-001,Heritage Petroleum,Oil & Gas,Heritage Petroleum,HERITAGE PETROLEUM,Contains,All,True,Trinidad and Tobago state oil company,2400000
ABU-DHABI-001,Abu Dhabi National Oil Company,Oil & Gas,ADNOC,ABU DHABI NATIONAL,Contains,All,True,UAE state oil company,2300000
SOMO-001,State Oil Marketing Company (SOMO),Oil Marketing,Iraqi Government,SOMO;STATE OIL MARKETING,Contains,All,True,Iraqi state oil marketer,13000000
VALERO-001,Valero,Oil Refining,Valero Energy Corporation,VALERO,Contains,All,True,Major US refiner - clean up HTML entities &AMP;,60000000
IRVING-001,Irving Oil,Oil Refining,Irving Oil,IRVING OIL,Contains,All,True,Canadian refiner - Irving Oil Ltd/Refining/Terminals,40000000
PBF-001,PBF Energy,Oil Refining,PBF Energy,PBF HOLDING,Contains,All,True,US independent refiner,26000000
MARATHON-001,Marathon Petroleum,Oil Refining,Marathon Petroleum Corporation,MARATHON PETROLEUM;MARATHON CARSON,Contains,All,True,US refiner - includes Carson refinery,19000000
SAUDI-REFINING-001,Saudi Refining Inc,Oil Refining,Saudi Aramco/Shell JV,SAUDI REFINING,Contains,All,True,Port Arthur refinery JV,15000000
MOTIVA-001,Motiva Enterprises,Oil Refining,Saudi Aramco,MOTIVA ENTERPRISES,Contains,All,True,Saudi Aramco US refining subsidiary,14000000
MONROE-001,Monroe Energy,Oil Refining,Delta Air Lines,MONROE ENERGY,Contains,All,True,Delta subsidiary - Trainer refinery PA,6000000
HOUSTON-REFINING-001,Houston Refining,Oil Refining,,HOUSTON REFINING,Contains,All,True,Houston area refining operations,6000000
CITGO-001,Citgo,Oil Refining,PDVSA (Venezuelan state),CITGO,Contains,All,True,US refiner owned by Venezuela,5000000
PAR-HAWAII-001,PAR Hawaii Refining,Oil Refining,Par Pacific,PAR HAWAII,Contains,All,True,Hawaii refinery,3400000
IDEMITSU-001,Idemitsu Apollo,Oil Refining,Idemitsu Kosan,IDEMITSU APOLLO,Contains,All,True,Japanese refiner US operations,3200000
S-OIL-001,S-Oil,Oil Refining,S-Oil Corporation,S OIL CORP,Contains,All,True,South Korean refiner,2500000
PAULSBORO-001,Paulsboro Refining,Oil Refining,PBF Energy,PAULSBORO REFINING,Contains,All,True,PBF subsidiary - Paulsboro NJ refinery,2400000
DELAWARE-CITY-001,Delaware City Refining,Oil Refining,PBF Energy,DELAWARE CITY REFINING,Contains,All,True,PBF subsidiary - Delaware City refinery,1400000
EQUINOR-001,Equinor,Oil/Gas,Equinor ASA,EQUINOR,Contains,All,True,"Norwegian oil major - combines all Equinor entities (Marketing & Trading, ASA)",4407778
GUNVOR-001,Gunvor Group,Oil/Gas,Gunvor Group,GUNVOR,Contains,All,True,Major commodity trader - combines Gunvor Group and Gunvor USA,3470292
TOTSA-001,TotalEnergies Trading,Oil/Gas,TotalEnergies,TOTSA TOTALENERGIES;TOTAL ENERGIES TRADING,Contains,All,True,TotalEnergies trading arm - major crude/products trader,2923777
CARIB-LPG-001,Carib LPG Trading,Oil/Gas,,CARIB LPG,Contains_All,All,True,LPG trading company - Caribbean operations,2600772
NOVUM-001,Novum Energy Trading,Oil/Gas,,NOVUM ENERGY,Contains_All,All,True,Energy trading company,2453763
GS-CALTEX-001,GS Caltex,Oil/Gas,GS Group/Chevron JV,GS CALTEX,Contains_All,Shipper,True,South Korean refiner - GS/Chevron JV,2021306
DIAMOND-GREEN-001,Diamond Green Diesel,Oil/Gas,Valero/Darling JV,DIAMOND GREEN DIESEL,Contains,All,True,Renewable diesel producer - Valero/Darling JV,1983237
PETROCHINA-001,PetroChina International,Oil/Gas,PetroChina,PETROCHINA,Contains,All,True,Chinese state oil company - combines all PetroChina entities,1969588
NFE-001,New Fortress Energy,Oil/Gas,,NEW FORTRESS ENERGY;NFE TRANSPORT,Contains,All,True,LNG infrastructure and trading,1797643
ARAMCO-FUJAIRAH-001,Aramco Trading Fujairah,Oil/Gas,Saudi Aramco,ARAMCO TRADING FUJAIRAH,Contains,All,True,Saudi Aramco UAE trading operations,1408343
BP-INTL-001,BP Oil International,Oil/Gas,BP plc,BP OIL INTERNATIONAL,Contains,All,True,BP international trading operations,1355240
MARATHON-INTL-001,Marathon International Products,Oil/Gas,Marathon Petroleum,MARATHON INTERNATIONAL PRODUCT,Contains,All,True,Marathon trading arm - distinct from Marathon Petroleum refining,1323629
SONATRACH-001,Sonatrach,Oil/Gas,Algerian Government,SONATRACH,Contains,All,True,Algerian state oil company,1316130
