Code,Description
02,"9018130000 MAGNETIC RESONANCE IMAGING APPARATUS USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES"
02,"9018140000 SCINTIGRAPHIC APPARATUS FOR USE IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES"
02,"9018194000 ELECTRO-DIAGNOSTIC APPARATUS FOR FUNCTIONAL EXPLORATORY EXAMINATION, AND PARTS AND ACCESSORIES THEREOF"
02,9018195500 PATIENT MONITORING SYSTEMS
02,9018199535 ELECTROENCEPHALOGRAPHS (EEG) AND ELECTROMYOGRAPHS (EMG)
02,"9018199550 ELECTRO-DIAGNOSTIC APPARATUS, USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES, NESOI"
02,"9018199560 PARTS AND ACCESSORIES FOR ELECTRO-DIAGNOSTIC APPARATUS, FOR USE IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES"
02,9018500000 OTHER OPHTHALMIC INSTRUMENTS AND APPLIANCES AND PARTS AND ACCESSORIES
02,"9018901500 OPTICAL INSTRUMENTS AND APPLIANCES AND PARTS AND ACCESSORIES, NESOI"
02,9018903000 ANESTHETIC INSTRUMENTS AND APPLIANCES AND PARTS AND ACCESSORIES
02,9018906000 ELECTRO-SURGICAL INSTRUMENTS AND APPLIANCES AND PARTS AND ACCESSORIES
02,9018907040 ULTRASONIC THERAPEUTIC APPLIANCES AND INSTRUMENTS
02,"9018907060 THERAPEUTIC APPLIANCES AND INSTRUMENTS, EXCEPT ULTRASONIC"
02,"9018907080 ELECTRO-MEDICAL INSTRUMENTS AND APPLIANCES AND PARTS AND ACCESSORIES, NESOI"
02,"9019200000 OZONE THERAPY, OXYGEN THERAPY, AEROSOL THERAPY, ARTIFICAL RESPIRATION OR OTHER THERAPEUTIC RESPIRATION APPARATUS; PARTS AND ACCESSORIES"
02,"9021100090 ORTHOPEDIC OR FRACTURE APPLIANCES AND PARTS AND ACCESSORIES THEREOF, NESOI"
02,9021310000 ARTIFICIAL JOINTS AND PARTS AND ACCESSORIES THEREOF
02,9021390000 OTHER ARTIFICAL PARTS OF THE BODY AND PARTS AND ACCESSORIES
02,"9021400000 HEARING AIDS, EXCLUDING PARTS AND ACCESSORIES"
02,"9021500000 PACEMAKERS FOR STIMULATING HEART MUSCLES, EXCLUDING PARTS AND ACCESSORIES"
02,9022120000 COMPUTED TOMOGRAPHY APPARATUS
02,"9022130000 APPARATUS BASED ON THE USE OF X-RAYS FOR DENTAL USES, NESOI"
02,"9022140000 APPARATUS BASED ON THE USE OF X-RAYS FOR MEDICAL, SURGICAL, OR VETERINARY USES, NESOI"
02,"9022190000 APPARATUS BASED ON THE USE OF X-RAYS FOR OTHER USE, EXCEPT MEDICAL, SURGICAL, DENTAL OR VETERINARY, INCLUDING RADIOGRAPHY OR RADIOTHERAPY APPARATUS"
02,"9022210000 APPARATUS BASED ON THE USE OF ALPHA, BETA OR GAMMA RADIATIONS FOR MEDICAL, SURGICAL, DENTAL OR VETERINARY USES"
02,"9022298000 APPARATUS BASED ON THE USE OF ALPHA, BETA OR GAMMA RADIATIONS FOR OTHER USE, NESOI"
02,9022300000 X-RAY TUBES
02,"9022902000 HIGH TENSION GENERATORS, CONTROL PANELS, DESKS, SCREENS EXAMINATION OR TREATMENT TABLES,CHAIRS AND THE LIKE, NESOI"
02,9022904000 PARTS AND ACCESSORIES OF X-RAY TUBES
02,9024100000 MACHINES AND APPLIANCES FOR TESTING METALS
02,"9024800000 OTHER MACHINES AND APPLIANCES FOR TESTING THE HARDNESS, STRENGTH, COMPRESSIBILITY, ELASTICITY OR OTHER MECHANICAL PROPERTIES OF MATERIALS,EXC METALS"
02,"9024900000 PARTS AND ACCESSORIES FOR MACHINES & APPLIANCES FOR TESTING HARDNESS, STRENGTH, COMPRESSIBILITY, ELASTICITY OR OTHER MECHANICAL PROPERTIES OF MATERIAL"
02,9027202000 GAS CHROMATOGRAPHS
02,9027205030 ELECTRICAL ELECTROPHORESIS INSTRUMENTS
02,9027206050 LIQUID CHROMATOGRAPHS
02,"9027209000 CHROMATOGRAPHS AND ELECTROPHORESIS INSTRUMENTS, NESOI"
02,"9027308020 SPECTROSCOPES, EXCEPT ELECTRICAL"
02,9027502000 THERMAL ANALYSIS INSTRUMENTS AND APPARATUS
02,"9027505000 CHEMICAL ANALYSIS INSTRUMENTS AND APPARATUS, NESOI"
02,"9027509000 INSTRUMENT AND APPARATUS FOR PHYSICAL OR CHEMICAL ANALYSIS USING OPTICAL RADIATIONS, NESOI"
02,9027810000 ELECTRICAL MASS SPECTROMETERS
02,9027892500 NUCLEAR MAGNETIC RESONANCES INSTRUMENTS AND APPARATUS (EXCEPT THOSE OF HEADING 9018)
02,9027893100 ELECTROCHEMICAL INSTRUMENTS AND APPARATUS
02,"9027893200 CHEMICAL ANALYSIS INSTRUMENTS AND APPARATUS, NESOI"
02,"9027898000 INSTRUMENTS AND APPARATUS FOR MEASURING/CHECKING VISCOSITY, POROSITY  EXPANSION, SURFACE TENSION OR THE LIKE, NESOI"
02,"9027902000 MICROTOMES, NESOI"
02,9027905430 PARTS AND ACCESSORIES OF ARTICLES OF SUBHEADING 9027.30.4040 AND 9027.30.4080
02,9027905440 PARTS AND ACCESSORIES OF ARTICLES OF SUBHEADING 9027.50.1000
02,"9027908950 PARTS AND ACCESSORIES OF INSTRUMENTS & APPARATUS FOR PHYSICAL OR CHEMICAL ANALYSIS, NESOI"
02,9029206000 STROBOSCOPES
03,"8443321010 LASER PRINTERS, CAPABLE OF CONNECTING TO AN AUTOMATIC DATA PROCESSING MACHINE OR NETWORK, PRODUCING MORE THAN 20 PAGES PER MINUTE"
03,"8443321020 LASER PRINTERS, CAPABLE OF CONNECTING TO AN AUTOMATIC DATA PROCESSING MACHINE OR NETWORK, PRODUCING LESS THAN 20 PAGES PER MINUTE"
03,8456110000 MACHINE TOOLS FOR WORKING ANY MATERIAL BY REMOVAL OF MATERIAL BY LASER
03,8456120000 MACHINE TOOLS FOR WORKING ANY MATERIAL BY REMOVAL OF MATERIAL BY OTHER LIGHT OR PHOTON BEAM PROCESS
03,8471608000 OPTICAL SCANNERS AND MAGNETIC INK RECOGNITION DEVICES
03,8519814120 OPTICAL DISC RECORDERS
03,8540890060 LIGHT-SENSING TUBES
03,"8541420000 SOLAR CELLS, NOT ASSEMBLED INTO MODULES OR MADE UP INTO PANELS"
03,8541430000 SOLAR CELLS ASSEMBLED INTO MODULES OR PANELS
03,"8541491050 PHOTOSENSITIVE DIODES, NESOI"
03,"8541497080 PHOTOSENSITIVE TRANSISTERS, NESOI"
03,8541498000 OPTICAL COUPLED ISOLATORS
03,9011100000 STEREOSCOPIC MICROSCOPES
03,"9011200000 OTHER MICROSCOPES, FOR MICROPHOTOGRAPHY, MICROCINEMATOGRAPHY OR MICROPROJECTION, NESOI"
03,"9013200000 LASERS, OTHER THAN LASER DIODES"
03,"9013800100 OPTICAL DEVICES, APPLIANCES AND INSTRUMENTS, NESOI"
03,9014202000 OPTICAL INSTRUMENTS AND APPLIANCES FOR AERONAUTICAL OR SPACE NAVIGATION (OTHER THAN COMPASSES)
03,9015100000 RANGEFINDERS
03,9015400000 PHOTOGRAMMETRICAL SURVEYING INSTRUMENTS AND APPLIANCES
03,"9015802000 OPTICAL SURVEYING, HYDROGRAPHIC, OCEANOGRAPHIC, HYDROLOGICAL, METEOROLOGICAL OR GEOPHYSICAL INSTRUMENTS AND APPLIANCES, EXC RANGEFINDER&COMPASSES, NES"
03,9031410000 OPTICAL INSTRUMENTS FOR INSPECTING SEMICONDUCTOR WAFERS OR DEVICES OR FOR INSPECTING PHOTOMASKS OR RETICLES USED IN MANUFG SEMICONDUCTOR DEVICES
03,9031494000 COORDINATE-MEASURING MACHINES FOR OPTICAL INSTRUMENTS AND APPLIANCES
04,"8443310000 MACHINES WHICH PERFORM TWO OR MORE OF THE FUNCTIONS OF PRINTING, COPYING OR FACSIMILE TRANSMISSION, CAPABLE OF CONNECTING TO AN ADP MACHINE OR NETWORK"
04,"8443325000 COPYING AND FACSIMILE MACHINES, CAPABLE OF CONNECTING TO AN AUTOMATIC DATA PROCESSING MACHINE OR NETWORK, NESOI"
04,8443992210 INK CARTRIDGES FOR THE GOODS OF SUBHEADING 8443.31 AND OF PRINTER UNITS OF SUBHEADING 8443.32.10
04,"8443992250 PARTS AND ACCESSORIES FOR THE GOODS OF SUBHEADING 8443.31 AND OF PRINTER UNITS OF SUBHEADING 8443.32.10, OTHER THAN INK CARTRIDGES"
04,"8443995600 PARTS AND ACCESSORIES OF OTHER PRINTERS AND FACSIMILE MACHINES, NESOI"
04,8470500020 POINT-OF-SALE TERMINAL TYPE CASH REGISTERS
04,"8471300100 PORTABLE DIGTL AUTOMATIC DATA PROCESSING MACHINES,WEIGHT NOT MORE THAN 10 KG,CONSISTING OF AT LEAST A CENTRAL PROCESSING UNIT,KEYBOARD & A DISPLAY"
04,"8471410110 DIGITAL ADP MACH COMPRISING IN SAME HOUSING AT LEAST A CPU AND AN INPUT AND OUPUT UNIT,WHETHER OR NOT COMBINED,W/CATHODE RAY TUBE (CRT)"
04,"8471410150 DIGITAL ADP MACH COMPRISING IN SAME HOUSING AT LEAST A CPU AND AN INPUT AND OUTPUT UNIT WHETHER OR NOT COMBINED,WITHOUT CRT,NESOI"
04,"8471490000 AUTOMATIC DATA PROCESSING MACHINES ENTERED IN THE FORM OF SYSTEMS, NESOI"
04,"8471500110 PROCESS UNITS W/ CATHODE RAY TUBE, WH/NOT CONTG IN THE SAME HOUSING 1 OR 2 OF STORAGE UNITS,INPUT UNITS OR OUTPUT UNITS"
04,"8471500150 DIGITAL PROCESSING UNITS EXCLUDE SUBHEADING 8471.41 OR 8471.49, MAY CONTAIN IN SAME HOUSING 1 OR 2 OF FOLLOWING: STORAGE, INPUT OR OUTPUT UNITS, NESOI"
04,"8471601010 COMBINED INPUT/OUTPUT UNITS, WITH CATHODE RAY TUBE (CRT), NESOI"
04,"8471601050 COMBINED INPUT/OUTPUT UNITS, WITHOUT A CATHODE RAY TUBE (CRT), NESOI"
04,"8471607000 INPUT/OUTPUT UNITS, NESOI, SUITABLE FOR PHYSICAL INCORPORATION INTO AUTOMATIC DATA PROCESSING MACHINES OR UNITS THEREOF"
04,8471609030 CARD KEY AND MAGNETIC MEDIA ENTRY DEVICES
04,"8471609050 ADP INPUT/OUTPUT UNITS, NESOI"
04,"8471701000 MAGNETIC DISK DRIVE UNITS WITH A DISK DIAMETER GT=21 CM,WITH READ-WRITE UNITS ENTERED SEPERATELY"
04,"8471702000 MAGNETIC DISK DRIVE UNTS FOR DISK OF DIAMETER EXCEEDING 21 CM(8.3 INCHES), UNTS FOR PHYSICAL INCORP INTO AUTO DATA PROCESS MACH OR UNT THEREOF, NESOI"
04,"8471703000 MAGNETIC DISK DRIVE UNITS, NESOI, WITH A DISK DIAMETER GT=21 CM"
04,"8471704035 FLEXIBLE (FLOPPY) MAGNETIC DISK DRIVE UNITS,NOT ASSEMBLED IN CABINETS, AND WITHOUT ATTACHED EXTERNAL POWER SUPPLY, NESOI"
04,"8471704065 HARD MAGNETIC DISK DRIVE UNITS, NESOI, NOT ASSEMBLED IN CABINETS, AND W/OUT ATTACHED EXTERNAL POWER SUPPLY UNITS"
04,"8471704095 DISK DRIVE UNITS, NESOI, NOT ASSEMBLED IN CABINETS, AND WITHOUT ATTACHED EXTERNAL POWER SUPPLY UNITS"
04,"8471705035 FLEXIBLE (FLOPPY) MAGNETIC DISK DRIVE UNITS,NESOI"
04,"8471705065 HARD MAGNETIC DISK DRIVE UNITS, NESOI"
04,"8471705095 MAGNETIC DISK DRIVE UNITS, NESOI"
04,"8471706000 OTHER STORAGE UNITS, NESOI, NOT ASSEMBLED IN CABINETS FOR PLACING ON A TABLE, DESK, WALL FLOOR OR SIMILAR PLACE"
04,"8471709000 OTHER STORAGE UNITS, NESOI"
04,8471801000 CONTROL OR ADAPTER UNITS FOR AUTOMATIC DATA PROCESSING MACHINES
04,"8471804000 UNITS, NESOI, SUITABLE FOR PHYSICAL INCORPORATION INTO AUTOMATIC DATA PROCESSING MACHINES OR UNITS THEREOF"
04,"8471809000 OTHER UNITS FOR AUTOMATIC DATA PROCESSING MACHINES, NESOI"
04,"8471900000 MACHINES AND UNITS THEREOF FOR PROCESSING DATA, NESOI"
04,8473300002 PARTS & ACCESSORIES FOR MACHINES OF 8471
04,8473500000 PARTS AND ACCESSORIES EQUALLY SUITABLE FOR USE WITH MACHINES OF TWO OR MORE OF THE HEADINGS 8469 TO 8472
04,8517130000 SMARTPHONES
04,8517140020 RADIO TELEPHONES DESIGNED FOR INSTALLATION IN MOTOR VEHICLES FOR THE PUBLIC RADIOTELECOMMUNICATIONS SERVICE
04,"8517140050 RADIO TELEPHONES DESIGNED FOR THE PUBLIC CELLULAR RADIOTELECOMMUNICATION SERVICE,VNESOI EXCLUDING FOR MOTOR VEHICLES"
04,"8517140080 TELEPHONES FOR CELLULAR NETWORKS OR FOR OTHER WIRELESS NETWORKS, NESOI"
04,"8517180000 TELEPHONE SETS, NESOI"
04,8517610000 BASE STATIONS
04,8517620010 MODEMS (MODULATOR-DEMODULATOR APPARATUS) OF A KIND USED WITH DATA PROCESSING MACHINES OF HEADING 8471
04,"8517620050 MACHINES FOR THE RECEPTION, CONVERSION & TRANSMISSION OR REGENERATION OF VOICE, IMAGES OR OTHER DATA, INCLUDING SWITCHING & ROUTING APPARATUS, NESOI"
04,"8517690000 APPARATUS FOR TRANSMISSION OR RECEPTION OF VOICE, IMAGES OR OTHER DATA, INCLUDING APPARATUS FOR COMMUNICATION IN A WIRED OR WIRELESS NETWORK, NESOI"
04,8517710000 AERIALS AND AERIAL REFLECTORS OF ALL KINDS; PARTS SUITABLE FOR USE THEREWITH
04,"8517790000 PARTS OF TELEPHONE SETS OR OTHER APPARATUS FOR THE TRANSMISSION OR RECEPTION OF VOICE, IMAGES OR OTHER DATA"
04,"8521900000 VIDEO RECORDING OR REPRODUCING APPARATUS, WHETHER OR NOT INCORPORATING A VIDEO TUNER, EXCEPT MAGNETIC TAPE-TYPE"
04,8523292000 MAGNETIC TAPE FOR REPRODUCING PHENOMENA OTHER THAN SOUND OR IMAGE
04,"8523299000 RECORDED MAGNETIC MEDIA, NESOI"
04,"8523492010 DISCS FOR LASER READING SYSTEMS, FOR REPRODUCING PHENOMENA OTHER THAN SOUND OR IMAGE, PREPACKAGED SOFTWARE OF A KIND SOLD AT RETAIL"
04,"8523492020 DISCS FOR LASER READING SYSTEMS, FOR REPRODUCING PHENOMENA OTHER THAN SOUND OR IMAGE, NESOI"
04,"8523493000 RECORDED OPTICAL MEDIA, FOR REPRODUCING SOUND ONLY"
04,"8523494000 RECORDED OPTICAL MEDIA FOR REPRODUCING REPRESENTATIONS OF INSTRUCTIONS, DATA, SOUND & IMAGE, MANIP/INTERACT BY ADP; PROPRIETARY FORMAT RECORDED DISKS"
04,"8523495000 DISCS FOR LASER READING SYSTEMS, NESOI"
04,8523510000 SOLID-STATE NON-VOLATILE STORAGE DEVICES FOR THE RECORDING OF SOUND OR OTHER PHENOMENA
04,"8523590000 SEMICONDUCTOR MEDIA FOR THE RECORDING OF SOUND OR OTHER PHENOMENA, NESOI"
04,"8525506050 RADIO TRANSMITTERS CAPABLE OF TRANSMITTING ON FREQUENCIES NOT EXCEEDING 30 MHZ, NOT FOR USE IN CIVIL AIRCRAFT"
04,"8525508020 TRANSMISSION APPARATUS FOR CIVIL AIRCRAFT, NESOI"
04,"8525508040 TRANSMISION APPARATUS FOR RADIOTELEPHONY,RADIOTELEGRAPHY,RADIOBROADCASTING, NESOI"
04,"8525601055 RADIO TRANSCEIVERS, OTHER"
04,"8525602000 TRANSMISSION APPARATUS INCORPORATING RECEPTION APPARATUS, NESOI"
04,"8525810000 HIGH-SPEED TELEVISION CAMERAS, DIGITAL CAMERAS AND VIDEO CAMERA RECORDERS, AS SPECIFIED IN CHAPTER 85 SUBHEADING NOTE 1"
04,"8525820000 RADIATION-HARDENED OR RADIATION-TOLERANT TELEVISION CAMERAS, DIGITAL CAMERAS AND VIDEO CAMERA RECORDERS, AS SPECIFIED IN CHAPTER 85 SUBHEADING NOTE 2"
04,"8525830000 TELEVISION CAMERAS, COLOR, NESOI"
04,"8525892500 TELEVISION CAMERAS, COLOR"
04,"8525893500 TELEVISION CAMERAS, EXCEPT COLOR"
04,8525894000 DIGITAL STILL IMAGE VIDEO CAMERAS
04,8525895020 CAMCORDERS EXCEPT 8MM
04,"8525895050 STILL IMAGE VIDEO CAMERAS AND VIDEO CAMERA RECORDERS, NESOI"
04,8526100020 RADAR APPARATUS DESIGNED FOR BOAT OR SHIP INSTALLATION
04,8526100070 RADAR APPARATUS NESOI
04,8526910010 RADIO NAVIGATIONAL AID APPARATUS FOR USE IN CIVIL AIRCRAFT
04,"8526910030 RADIO NAVIGATIONAL AID APPARATUS, RECEPTION ONLY TYPE"
04,"8526910070 RADIO NAVIGATIONAL AID APPARATUS,NESOI"
04,8526920000 RADIO REMOTE CONTROL APPARATUS
04,"8527993060 RADIO RECEIVERS, NOT FOR USE IN CIVIL AIRCRAFT"
04,"8527995030 RECEPTION APPARATUS, NESOI"
04,"8528520000 MONITORS, OF A KIND SOLELY OR PRINCIPALLY USED IN AN AUTOMATIC DATA PROCESSING SYSTEMS OF HEADING 8471, NESOI"
04,"8528620000 PROJECTORS, OF A KIND SOLELY OR PRINCIPALLY USED IN AN AUTOMATIC DATA PROCESSING SYSTEMS OF HEADING 8471"
04,8528710000 TV RECEPTION APPARATUS NOT DESIGNED TO INCORPORATE A VIDEO DISPLAY OR SCREEN
04,"8528723000 TV RECEPTION APPARATUS, COLOR, INCORPORATING VIDEO RECORDING OR REPRODUCING APPARATUS"
04,8529903000 TELEVISION CAMERA PARTS
04,8529904720 RADAR APPARATUS PARTS
04,8529904740 RADIO NAVIGATIONAL AID APPARATUS PARTS (EXCEPT RADAR)
04,8529904760 RADIO REMOTE CONTROL APPARATUS PARTS
04,8543706000 ARTICLES DESIGNED FOR CONNECTION TO TELEGRAPHIC OR TELEPHONIC APPARATUS OR INSTRUMENTS OR TO TELEGRAPHIC OR TELEPHONIC NETWORKS
04,8802603000 COMMUNICATIONS SATELLITES
04,8807903000 PARTS OF COMMUNICATIONS SATELLITES
04,9017208040 HAND OPERATED INPUT DEVICES WHICH TRANSMIT POSITION DATA TO COMPUTER PROCESSORS OR DISPLAYS (DIGITIZERS)
04,"9031900000 PARTS & ACCESSORIES OF MACHINES, NESOI IN THIS CHAPTER AND FOR PROFILE PROJECTORS"
05,8486300000 MACHINES AND APPARATUS FOR THE MANUFACTURE OF FLAT PANEL DISPLAYS
05,"8523520010 SMART CARDS, UNRECORDED"
05,"8523520090 SMART CARDS, RECORDED"
05,"8534000020 PC, PLASTICS IMPREGNATED, NOT FLEXIBLE TYPE, HAVING A BASE WHOLLY OF IMPREGNATED GLASS WITH 3 OR MORE LAYERS OF CONDUCTING MATERIALS"
05,"8537109030 NUMERICAL CONTROLS FOR CONTROLLING MACHINE TOOLS, FOR VOLTAGE NOT EXCEEDING 1,000 V"
05,"8537109050 PANEL BOARDS AND DISTRIBUTION BOARDS, FOR VOLTAGES LT= 1,000 VOLTS"
05,"8537109060 PROGRAMABLE CONTROLLERS FOR A VOLTAGE NOT EXCEEDING 1,000 VOLTS"
05,"8540792000 MICROWAVE TUBES, NESOI"
05,"8541100040 UNMOUNTED CHIPS, DICE, WAFERS FOR DIODES OTHER THAN PHOTOSENSITIVE OR LIGHT-EMITTING DIODES"
05,8541100050 ZENER DIODES
05,8541100060 MICROWAVE DIODES
05,"8541100070 DIODES, OTHER THAN PHOTOSENSITVE OR LED, WITH A MAXIMUM CURRENT OF 0.5 A OR LESS"
05,"8541100080 DIODES, OTHER THAN PHOTOSENSITVE OR LED, WITH A CURRENT GREATER THAN 0.5 A"
05,"8541210040 UNMOUNTED CHIPS, DICE, WAFERS FOR TRANSISTORS OTHER THAN PHOTOSENSITIVE WITH A DISSIPATION RATE OF LESS THAN 1W"
05,"8541210080 TRANSISTORS,OTHER THAN PHOTOSENSITIVE, WITH A DISSIPATION RATE OF LESS THAN 1 W, NESOI"
05,"8541290040 UNMOUNTED CHIPS, DICE AND WAFERS FOR TRANSISTORS OTHER THAN PHOTOSENSITIVE, WITH A DISSIPATION RATE OF 1W OR GREATER"
05,"8541290080 TRANSISTORS,OTHER THAN PHOTOSENSITIVE,WITH A DISSIPATION RATE OF 1 W OR GREATER, NESOI"
05,"8541300040 UNMOUNTED CHIPS, DICE & WAFERS FOR THYRISTORS, DIACS AND TRIACS, OTHER THAN PHOTOSENSITIVE"
05,"8541300080 THYRISTORS, DIACS & TRIACS, OTHER THAN PHOTOSENSITIVE DEVICES, NESOI"
05,"8541491010 UNMOUNTED CHIPS, DICE OR WAFERS FOR PHOTOSENSITIVE DIODES"
05,"8541497040 UNMOUNTED CHIPS, DICE AND WAFERS FOR PHOTOSENSITIVE TRANSISTORS"
05,"8541499500 PHOTOSENSITIVE SEMICONDUCTOR DEVICES, NESOI"
05,8541510000 SEMICONDUCTOR-BASED TRANSDUCERS
05,"8541590040 UNMOUNTED CHIPS, DICE, WAFERS FOR SEMICONDUCTOR DEVICES, NESOI"
05,"8541590080 SEMICONDUCTOR DEVICES, NESOI"
