Shipper,Consignee,Shipments,Tons,BOL_Count
Sia Kronospan Riga,Kronospan Llc,38,328000.21,38
Eurochem Usolsky Potash Complex,Eurochem North America Corp.,15,325516.6,15
Star Rafineri As,Valero,7,325160.56,7
Sonatrach,Monroe Energy,6,324543.0,6
Akcansa Cimento San Tic. A.S. Tehc Trading Americas Llc,Hm Southeast Cement Llc,10,324288.0,10
Vissai Ninh Binh Jsc,Ash Grove Cement Co.,10,324100.0,10
"Meglobal Eg Singapore Pte., Ltd.","Meglobal Eg Singapore Pte., Ltd.",38,322562.12,38
Cia Espanola De Petroleos Sa,Cepsa Trading Sau,25,322386.82,25
Mobil Producing Nigeria Unlimited,Monroe Energy,5,321065.56,5
Aramco Trading Fujairah,ExxonMobil,5,319761.47,5
Ep Petroecuador,Marathon Petroleum,6,318053.75,6
Sterling Oil Exploration Energy,Vitol,8,317176.0,8
Samarco Mineracao S.A.,ArcelorMittal,3,317073.0,3
Surface Deployment And Distribution,Surface Deployment And Distribution,437,316268.85,437
Ep Petroecuador,Unipec America,7,316108.68,7
Duferco Sa,Dbs Bank Ltd. London,8,315566.0,8
Petrochina International America,PBF Energy,6,314091.6,6
Heritage Petroleum,Shell,4,311682.54000000004,4
Unipec America,Unipec America,4,310391.95,4
ExxonMobil,Marathon Petroleum,5,308417.0,5
Iron Ore Company of Canada,Nucor Steel,4,308342.0,4
Suncor Energy,Warner Petroleum,57,307605.22000000003,57
Geogas Trading Sa,Empire Gas Co. Inc.,47,304992.0,47
Pt . Dexin Steel Indonesia,Ternium,6,304236.32,6
Equinor Canada Ltd.,Equinor Marketing And Trading Us,4,302446.0,4
PMI Trading,Vitol,16,301778.08,16
Akcansa Cimento San. Tic. A.S.,Houston Cement Co.,6,300780.0,6
Innophos Fosfatados De Mexico,Innophos Inc. (Geismar Plant),36,300760.94,36
Frontera Energy Colombia Corp.,Chevron,4,299711.98,4
Leed Salt Damietta Port Main,Leed Group Inc. Dba Leed Salt,6,299200.0,6
Grupo Minero Del Mar De Cortes,Pabco Gypsum Co.,15,298600.0,15
Metsa Board Corp,Metsae Board Americas Corp.,67,298455.23,67
Sca Logistics Ab,Sca Logistics Ab,85,298113.89,85
Gardau Metaldom Sa,Gardau Metaldom Sa,1,295780.0,1
Irving Oil,Bitumar Usa Inc.,42,294697.0,42
Vida Wood Ab,Vida Wood Us,42,294350.15,42
ArcelorMittal,Ternium,8,293771.14,8
Heritage Petroleum,Chevron,4,293563.52,4
Jfe Shoji Corp.,Argos Usa,9,292739.74,9
Nippon Steel & Sumikin,Hm Southeast Cement Llc,6,291896.0,6
Aramco Americas,Freepoint Commodities,12,290441.1,12
"Gmb Korea Industries Co., Ltd.",General Motors Llc,944,289555.33,944
Saudi Cement Co.,Cemex,7,288274.0,7
"Gs Caltex Singapore Pte., Ltd.",Banque De Commerce Et De Placements,8,288244.0,8
Imperial Oil Ltd.,Us Energy,39,285902.0,39
ExxonMobil,Chevron,4,283162.14,4
Akcansa Cimento San. Tic. A.S.,Heidelberg Marterials Us Cement Llc,19,282090.0,19
Nnpc Suppliers To Socar,ExxonMobil,3,281905.86,3
Saudi Arabian Mining Co.,Archer Daniels Midland Co.,11,281475.55,11
Marathon International Product,Marathon International Product,8,279913.85,8
Alunorte Alumina Do Norte Do,Southern Ionics,14,279713.94,14
Sg Comercio Exterior Sa,Host Agency,6,279194.0,6
Lafarge Ciment Msla Sp A B O,Hollingshead Cement Llc,7,279122.0,7
Trafigura,Eneos America Inc.,4,278665.24,4
Pmi Commercio International S.A. De,Valero,5,278409.0,5
Dexter Construction Group,Superior Asphalt,7,277894.44,7
Ecopetrol,Valero,9,275700.05,9
Shell Global Lng Ltd.,Naturgy Aprovisionamientos Sa,14,275133.82,14
Gm Korea Comapny,General Motors Llc,565,273517.22,565
Binderholz Oberrot Baruth Gmb H,Binderholz Timber Inc.,103,273202.17,103
Cnodc Brazil Petroleo E Gas Ltda,Petrochina International,2,272592.0,2
Medcem Global,Suwannee American Co Dba Ash Grove,10,272504.0,10
State Oil Marketing Company (SOMO),China Offshore,2,271446.99,2
Elk Valley Resources,Ees Coke Battery L.L.C.,10,270000.0,10
Tronox Mineral Sands ( (Pty) ) Ltd.,Tronox Llc,22,269112.98,22
Aramco Trading Fujairah,Aramco Trading Fujairah,7,268560.0,7
Europstone Ras Spain S.L.,Greenland Developers Inc.,6,268394.42,6
Chevron,Pbf Energy Ltd.,6,267968.0,6
"Husteel Co., Ltd.",Husteel Usa Inc.,591,267777.74,591
Galaxy Oil Fz Llc,Valero,16,267717.38,16
"Hd Hyundai Oilbank Co., Ltd.",Sunoco,88,267122.17,88
Petrobras,PBF Energy,4,264137.6,4
Aramco Trading Fujairah,Valero,4,263917.80000000005,4
Cenovus Energy,Valero,7,263756.68,7
Idemitsu Apollo,Idemitsu Apollo,75,263001.29,75
Nite Oil Ltd.,Royal Petroleum Corp.,3,262416.96,3
Nnpc,Monroe Energy,6,261836.76,6
Methanol Holdings (Trinidad) Ltd.,Helm Fertilizer Corp,21,260438.11,21
Bp Oil International Ltd.,Chevron,4,256750.78,4
"Dongbu Steel Co., Ltd.",Kg Steel Usa Inc.,1567,255745.21,1567
Sirius House,Biehl & Co,2,255133.44,2
Jfe Shoji Trade Corp.,Heidelberg Materials Us Cement Llc,6,254880.0,6
Cemtech Global Muhendislik As,Cemtech Usa Llc,10,252406.44,10
Lafarge Ciment Msila Sp A,Hollingshead Cement Llc,6,252097.4,6
PMI Trading,Atlantic Trading & Marketing Inc.,4,250679.38,4
Green Energy International Ltd.,PAR Hawaii Refining,8,249499.4,8
Imperial Oil Co.,Mieco Inc.,134,249282.12,134
Nnpc Trading Sa,PAR Hawaii Refining,4,248708.0,4
Fertcom Llc Fz,Eco Fertilizers Inc.,11,244430.81,11
Tartan Oil Llc,Tartan Oil Llc,15,244305.71,15
S-Oil,Marathon Petroleum,10,243124.72,10
Pt Sumber Indah Perkasa,Pt Sumber Indah Perkasa,205,242558.65,205
Nnpc Exploration And Production,Monroe Energy,4,239660.0,4
"Hyundai Steel Pipe Co., Ltd.",Hyundai Steel Usa Inc.,1572,239422.59,1572
"Petrochina International Co., Ltd.",PBF Energy,5,238512.02000000002,5
Refinaria De Mataripe S.A.,Trafigura,4,237260.0,4
Neste Oil Oyj,Best Petroleum Corp.,20,235439.28,20
Petrogal S.A.,BP,13,235187.02,13
Reliance Industries,Chevron,6,235067.84,6
"Gs Caltex Singapore Pte., Ltd.",Iig Capital,8,234416.0,8
Ontario Trap Rock,Chicago Port Railroad,11,232871.44,11
Kuwait Petrolium Corp.,Valero,4,229898.0,4
Lafarge North America,Cliffs Michigan Mining Co.,18,229469.6,18
Ontario Trap Rock,Edward C Levy Co.,10,227400.0,10
Grey Rock Gathering & Marketing Ll,ExxonMobil,10,227309.18,10
"Varshini Exim Pvt., Ltd.",Halliburton Energy Services,7,227252.0,7
Gunvor Group,Sony Puerto Rico Inc.,15,227155.37,15
Sonmez Cimento Api Ve Madencilik,Fortress Cement Inc.,14,225556.0,14
Nordic Bulk Co. A S,Cgb Enterprises,5,225500.0,5
Suncor Energy,Puerto Rico Energy,8,222570.45,8
Amreyah Cement Co.,Sesco Cement Corp.,22,222192.2,22
Stelco Inc.,St. Mary's Cement Co.,8,222000.0,8
Shanghai Chongming Minerals Lao,Halliburton Energy Services,6,221598.0,6
Wanhua Chemical Singapore Pte,"Wanhua Chemical (America) Co., Ltd.",71,221105.39,71
Hydro Aluminium As,Hydro Aluminium A.S.,37,220433.84,37
C.I. Banacol S.A.,Dole Europe Gmb H,176,219313.53,176
Uam Logistics & Trad Llc,PBF Energy,4,218551.76,4
Anshan Zizhu International Trading,Harmer Steel Products Co.,7,217649.6,7
Rio Tinto Fer Et Titane Inc.,Ineos Pigments Usa Inc.,30,217380.7,30
Equinor Canada Ltd.,Equinor Marketing & Trad Us Inc.,4,217198.0,4
Duferco Sa,Ubs Switzerland Ag,8,216281.0,8
Cemex,Vulcan Materials,12,216259.84,12
Nuh Cimento Sanayi Anonim Sirketi,Hlj International Trading Co.,9,214549.0,9
Ontario Trap Rock A Division Of,Edward C Levy Co.,20,212927.16,20
H.J. Baker Sulphur Canada Ulc,Mosaic,4,212878.0,4
General Motors Overseas Distributio,General Motors Overseas Distributio,442,212708.24,442
"Dongkuk Coated Metal Co., Ltd.",Dongkuk International Inc.,1318,211802.01,1318
Nigerian National Petroleum Corp.,Aramco Americas,2,211660.14,2
Novum Energy Trading Corp.,Freepoint Commodities Llc58 Commerc,5,210545.0,5
BP,ExxonMobil,6,210116.0,6
"Long Son Co., Ltd. Thanh Hoa Branch",Houston Cement Co.,4,209624.0,4
Totsa Totalenergies Trading Sa,Totsa Totalenergies Trading Sa,14,209389.6,14
Totalenergies Ep Nigeria Ltd.,Totsa Total Oil Trading Sa,2,209141.0,2
Carrera 7,Houston Refining,3,208706.32,3
Vissai Ninh Binh Jsc,Two Rivers Cement,8,208636.0,8
Ep Petroecuador,Chevron,4,208599.63,4
Heritage Petroleum,Aramco Americas,3,208262.28,3
Sumas Shale Ltd.,Ash Grove Cement Co.,22,208240.0,22
Public Co. Orlen Lietuva,BP,8,208031.01,8
Akcansa Cimento San. Tic. A.S.,Hm Southeast Cement Llc,6,207568.0,6
Akcansa Cimento San. Tic. A.S.,Houston Cement Co. L.P.,6,207526.0,6
Teck Coal Ltd.,Ees Coke Battery L.L.C.,10,206000.0,10
ArcelorMittal,Holcim ( Us ) Inc.,4,205770.0,4
Ncl (Bahamas Ltd.),Waste Management,288,205676.18,288
Shell Brazil Petroleo Ltda,Shell,3,205370.88,3
North Coast Commodities Dmcc,North Coast Commodities Dmcc,4,204742.0,4
Sociedad Punta Delobos Sa,Morton Salt,4,204650.0,4
"K.Granites Pvt., Ltd.",High Bridge Stone Co. Inc.,22,204600.0,22
Cemex,Emirates Aluminium (EGA),7,204484.0,7
Stemcor London Ltd.,Ing Bank N.V. Amsterdam,4,204210.0,4
Equinor Marketing And Trading Us,PBF Energy,5,203964.35,5
Totsa Totalenergies Trading Sa,Puerto Rico Energy,15,203923.7,15
Neste Oil Oyj,Sony Puerto Rico Inc.,16,203810.5,16
Kuwait Petroleum Corp.,Vitol,3,203618.0,3
Suzano S A,Fibria Celulose,46,202942.4,46
North Coast Commodities Dmcc,Riverside Construction Materials,4,202020.0,4
Jidong Development Group,Bnp Paribas Singapore,4,201805.0,4
Posco,Posco America Corp.,590,201727.58000000002,590
S-Oil,"Aramco Trading Singapore Pte., Ltd.",5,201577.0,5
Engie Energy Marketing Singapore,Constellation Energy Commodities,6,200966.05,6
Gs Caltex Corp.,Idemitsu Apollo,5,200772.9,5
Neste Oil Oyj,Sol Petroleum Usvi Ltd.,10,200198.3,10
Shell Brazil Petroleo Ltda,Marathon Petroleum,3,199782.72999999998,3
Turkiye Petrol Rafinerileri A.S,Valero,8,199673.03999999998,8
S-Oil,North American Fuel Corp.,5,198808.6,5
ArcelorMittal,Steel Dynamics Columbus Llc,4,198730.85,4
Qatar Chemical And Petrochemical,Yara North America,4,198000.0,4
Equinor Marketing And Trading Us,Marathon Petroleum,2,197879.84,2
Totsa Totalenergies Trading Sa,Best Petroleum Corp.,16,197388.48,16
Novum Energy Trading Corp.,Novum Energy,5,197315.99,5
Daimler Ag Werk 011,Mercedes Benz Usa Llc,156,197141.66,156
Irving Oil,Puerto Rico Energy,10,196124.9,10
Heidelberg Materials Canada Ltd.,Hm Pacific Northwest Inc.,28,196000.0,28
Upm Pulp Sales Oy,Upm Pulp Inc.,48,195625.07,48
Macquaerie Energy Canada Ltd.,Green America Biofuels,7,193888.82,7
Eneos Corp.,Eneos America Inc.,34,193208.32,34
Bppna,Valero,2,192769.48,2
Medcem Global,Riverside Constructions,4,192406.0,4
Nippon Steel & Sumikin,Heidelberg Materials Us Cement Llc,6,192397.41999999998,6
ExxonMobil,PBF Energy,7,192070.44,7
Suncor Energy,Chevron,3,191971.0,3
Eastern Steel Sdn Bhd,Ternium,4,191942.02000000002,4
The Shell Petroleum Development,Monroe Energy,5,191569.0,5
Adnoc Trading (Totalenergies),"Total Energies Trading Asia Pte., Ltd.",4,191244.0,4
Ecopetrol,Marathon Petroleum,3,190535.89,3
Audi Mexico S.A. De C.V.,Audi Ag,103,189218.45,103
Refineria De Cartagena S.A.,Puerto Rico Energy,7,188896.94,7
James Richardson International Ltd.,General Mills,8,188800.0,8
Shell International Trad & Shipping Co.,Suncor Reffinerie De Montreal,30,188363.04,30
Addax Petroleum Cameroon,Valero,2,188164.94,2
Equinor Asa,BP,10,187779.32,10
ExxonMobil,Alpek Polyester Usa Llc,21,187757.69,21
