Source,Target,Relationship_Type,Shipments,Tons
Sociedad Punta de Lobos,Morton Salt,Shipper→NotifyParty,88,2431965.46
Sociedad Punta de Lobos,Morton Salt,Shipper→Consignee,88,2431965.46
Puerto Rico Energy,Puerto Rico Energy,Consignee→NotifyParty,152,2419616.02
Houston Refining,Houston Refining,Consignee→NotifyParty,34,2401837.53
PMI Trading,ExxonMobil,Shipper→Consignee,83,2226446.31
PMI Trading,ExxonMobil,Shipper→NotifyParty,83,2222311.31
Ecopetrol,Citgo,Consignee→NotifyParty,29,2215757.69
Shell,PBF Energy,Shipper→NotifyParty,32,2173779.32
Shell,PBF Energy,Shipper→Consignee,31,2101188.38
PMI Trading,Marathon Petroleum,Shipper→Consignee,32,2099277.03
Nucor Steel,Nucor Steel,Consignee→NotifyParty,28,2087967.85
ArcelorMittal,ArcelorMittal,Consignee→NotifyParty,112,2076066.47
Abu Dhabi National Oil Company,Chevron,Shipper→NotifyParty,70,2072194.6
Trafigura,PBF Energy,Shipper→NotifyParty,49,2027780.85
Compass Minerals,Compass Minerals,Consignee→NotifyParty,108,1989397.1
Compass Minerals,Compass Minerals,Shipper→NotifyParty,108,1989397.1
PBF Energy,PBF Energy,Shipper→NotifyParty,38,1962758.74
Suncor Energy,Suncor Energy,Shipper→Consignee,72,1933699.39
Cemex,Cemex,Shipper→Consignee,106,1922165.65
Taiheiyo Cement Corporation,Glacier Northwest,Shipper→Consignee,73,1889043.74
Compania Minera,Eastern Salt Co. Inc.,Shipper→Consignee,46,1872121.06
State Oil Marketing Company (SOMO),Valero,Shipper→Consignee,32,1828860.93
Toyota Motor Corporation,Toyota Motor Sales,Shipper→Consignee,1039,1810376.49
Emirates Aluminium (EGA),Blue Water Industries,Shipper→NotifyParty,36,1809300.0
Blue Water Industries,Blue Water Industries,Consignee→NotifyParty,36,1809300.0
Emirates Aluminium (EGA),Blue Water Industries,Shipper→Consignee,36,1809300.0
Taiheiyo Cement Corporation,Glacier Northwest,Shipper→NotifyParty,70,1802141.74
Nfe Transport Partners Llc,New Fortress Energy,Shipper→Consignee,248,1797643.28
Natural Oleochemicals Sdn Bhd,Grupo Medina,Shipper→NotifyParty,4,1760616.0
Wilmar Oleo Quimico S.De.Rl.De.C.V.,Grupo Medina,Consignee→NotifyParty,4,1760616.0
Natural Oleochemicals Sdn Bhd,Wilmar Oleo Quimico S.De.Rl.De.C.V.,Shipper→Consignee,4,1760616.0
Petropiar,Chevron,Shipper→NotifyParty,22,1698968.06
Diamond Green Diesel Llc,Valero,Consignee→NotifyParty,505,1655563.7
Trafigura,Chevron,Shipper→NotifyParty,41,1622187.71
Nu Iron Unlimited,The David J. Joseph Co.,Shipper→Consignee,48,1612511.35
Carver Materials Canada Ltd.,Carver Sand & Gravel Se Llc,Shipper→Consignee,40,1602948.05
State Oil Marketing Company (SOMO),Valero,Shipper→NotifyParty,29,1601750.93
Idemitsu Apollo,Idemitsu Apollo,Consignee→NotifyParty,88,1512433.34
Chevron,Delaware City Refining,Consignee→NotifyParty,30,1436322.21
Ecopetrol,Houston Refining,Shipper→Consignee,17,1427055.68
Trafigura,Valero,Shipper→NotifyParty,34,1424265.33
Petrobras,ExxonMobil,Shipper→Consignee,18,1418423.75
Trafigura,PBF Energy,Consignee→NotifyParty,32,1390182.12
PMI Trading,Paulsboro Refining,Shipper→NotifyParty,32,1360377.68
Petrobras,ExxonMobil,Shipper→NotifyParty,16,1327543.75
Cemex,Cemex,Shipper→NotifyParty,81,1318893.66
Novum Energy Trading Corp.,Puerto Rico Electric Power Authorit,Shipper→Consignee,57,1315867.85
Aramco Americas,Aramco Americas,Shipper→Consignee,36,1310664.44
Carib Lpg Trading Ltd.,Carib Lpg Trading Ltd.,Shipper→Consignee,19,1300385.22
Aramco Americas,ExxonMobil,Shipper→NotifyParty,18,1270590.88
PDVSA,Valero,Shipper→NotifyParty,18,1269170.58
Lafrage Emirates Cement Llc,Hollingshead Cement Llc,Shipper→Consignee,31,1263341.0
Trafigura,Marathon Petroleum,Shipper→Consignee,49,1256275.6
Reliance Industries,Ril Usa Inc.,Shipper→Consignee,47,1245046.85
New Fortress Energy,"NEW FORTRESS ENERGY
954 PONCE DE LEON SUITE 406 SAN, JUAN PR 00907 PUERTO RICO",Consignee→NotifyParty,141,1240025.15
Nfe Transport Partners Llc,"NEW FORTRESS ENERGY
954 PONCE DE LEON SUITE 406 SAN, JUAN PR 00907 PUERTO RICO",Shipper→NotifyParty,141,1240025.15
Iron Ore Company of Canada,ArcelorMittal,Shipper→Consignee,15,1226705.0
Trafigura,Chevron,Shipper→Consignee,35,1225220.83
Suncor International Energy & Trading,Suncor Energy,Shipper→Consignee,20,1217473.8399999999
ArcelorMittal,California Steel Industries Inc.,Shipper→Consignee,40,1197016.82
Chevron,Houston Refining,Consignee→NotifyParty,20,1195002.22
PMI Trading,Marathon Petroleum,Shipper→NotifyParty,18,1183370.93
Morton Bahamas Ltd.,Morton Salt,Shipper→Consignee,29,1173631.0
Cemtech Global Muhendislik As,On Site Concrete Solutions,Shipper→Consignee,53,1167517.48
S-Oil,Idemitsu Apollo,Shipper→Consignee,31,1159076.03
Ecopetrol,Ecopetrol,Shipper→NotifyParty,15,1118105.99
PMI Trading,Hunt Crude Oil Supply Co.,Shipper→Consignee,27,1117086.31
Vitol,Vitol,Consignee→NotifyParty,79,1099159.31
Ep Petroecuador,PBF Energy,Shipper→NotifyParty,27,1070295.0
Ecopetrol,Ecopetrol,Consignee→NotifyParty,14,1034340.99
PMI Trading,Houston Refining,Shipper→Consignee,13,1030708.85
Mitsui & Co Usa Inc.,"MITSUI & CO, USA INC.
200 Park Avenue, New York, New York, 10166, United States",Consignee→NotifyParty,24,1024534.64
Heritage Petroleum,Citgo,Shipper→NotifyParty,13,1020991.53
Mitsui & Co. Deutschland Gmb H,Mitsui & Co Usa Inc.,Shipper→Consignee,14,1020307.0
Carver Materials Canada Ltd.,"CARVER SAND & GRAVEL SE, LLC
1400 PIERSIDE STREET, BUILDING 190, SUITE D, CHARLESTON SC US",Shipper→NotifyParty,23,1018565.11
Carver Sand & Gravel Se Llc,"CARVER SAND & GRAVEL SE, LLC
1400 PIERSIDE STREET, BUILDING 190, SUITE D, CHARLESTON SC US",Consignee→NotifyParty,23,1018565.11
Mazda Motor Corporation,Mazda Motor Of America Inc.,Shipper→Consignee,1272,1013303.55
Mitsui & Co. Deutschland Gmb H,"MITSUI & CO, USA INC.
200 Park Avenue, New York, New York, 10166, United States",Shipper→NotifyParty,10,1012308.5599999999
Iron Ore Company of Canada,ArcelorMittal,Shipper→NotifyParty,13,1011979.0
Freepoint Commodities,"FREEPOINT COMMODITIES LLC
58 COMMERCE ROAD, STAMFORD, CT 06902",Consignee→NotifyParty,52,1009910.65
PMI Trading,Citgo,Shipper→Consignee,14,996360.03
Marathon Petroleum,Marathon Petroleum,Shipper→Consignee,15,995988.96
Galaxy Oil Fz Llc,Valero,Shipper→NotifyParty,47,993480.34
Cenovus Energy,Chevron,Shipper→Consignee,18,974867.18
National Oil Corp,PAR Hawaii Refining,Shipper→Consignee,7,967110.8
National Oil Corp,PAR Hawaii Refining,Shipper→NotifyParty,7,967110.8
Vitol,Vitol,Shipper→Consignee,90,964043.54
The David J. Joseph Co.,Biehl & Co,Consignee→NotifyParty,28,959493.77
Nu Iron Unlimited,Biehl & Co,Shipper→NotifyParty,28,959493.77
Petrobras,BP,Shipper→Consignee,14,952718.0
Lafarge Texada Quarrying,Ash Grove Cement Co.,Shipper→Consignee,106,951372.0
Saudi Cement Co.,"INTEGRITY CUSTOMS BROKERAGE
2900 NORTH LOOP WEST FWY, SUITE 800, HOUSTON TX77092 US",Shipper→NotifyParty,21,943974.0
Sesco Cement Corp.,"INTEGRITY CUSTOMS BROKERAGE
2900 NORTH LOOP WEST FWY, SUITE 800, HOUSTON TX77092 US",Consignee→NotifyParty,21,943974.0
Saudi Cement Co.,Sesco Cement Corp.,Shipper→Consignee,21,943974.0
The Dow Chemical Co.,"BDP INTERNATIONAL NV
BRADERIJSTRAAT 11, ANTWERP B-2040, BELGIUM, TEL: 32345789",Shipper→NotifyParty,14,937080.2000000001
Vale,Nucor Steel,Shipper→Consignee,12,931350.0
Vale,Nucor Steel,Shipper→NotifyParty,12,931350.0
The Dow Chemical Co.,Dow Europe Gmb H Plant F412,Shipper→Consignee,4,925952.1000000001
Dow Europe Gmb H Plant F412,"BDP INTERNATIONAL NV
BRADERIJSTRAAT 11, ANTWERP B-2040, BELGIUM, TEL: 32345789",Consignee→NotifyParty,4,925952.1000000001
Gs Caltex Corporation,Iig Capital,Shipper→Consignee,26,923940.0
Hyundai Mobis,Hyundai Motor America,Shipper→Consignee,1730,922348.74
St. Mary's Cement Corp.,Mcinnis Usa Inc.,Shipper→Consignee,64,914706.33
Asociacion De Azucareros De,Csc Sugar Llc,Shipper→Consignee,22,907866.1
PMI Trading,PBF Energy,Shipper→NotifyParty,24,886375.06
Subaru Corp.,Subaru Ofamerica Inc.,Shipper→Consignee,968,886177.37
Subaru Ofamerica Inc.,"SUBARU OF AMERICA
ONE SUBARU DRIVE, CAMDEN NEW JERSEY 08103 U.S.A., US, CAMDEN                   08103",Consignee→NotifyParty,938,885487.86
St. Mary's Cement Corp.,"MCINNIS USA INC.
50 OAK AVENUE, BRONXNY 10474, US",Shipper→NotifyParty,61,882400.63
Mcinnis Usa Inc.,"MCINNIS USA INC.
50 OAK AVENUE, BRONXNY 10474, US",Consignee→NotifyParty,61,882400.63
Toyota Motor Sales,"TOYOTA MOTOR SALES USA, INC.
6565 HEADQUARTERS DRIVE, PLANO TEXAS 75024 U.S.A., US, PLANO75024",Consignee→NotifyParty,445,881507.69
Trafigura,Valero,Consignee→NotifyParty,25,880365.16
Petrobras,Petrobras,Shipper→Consignee,20,879983.41
PMI Trading,Houston Refining,Shipper→NotifyParty,11,865614.85
State Oil Marketing Company (SOMO),Eni Trade & Biofuels Sp A,Shipper→Consignee,18,857808.0
Eni Trade & Biofuels Sp A,Chevron,Consignee→NotifyParty,18,857808.0
Chevron,PBF Energy,Consignee→NotifyParty,23,850151.14
PDVSA,Delaware City Refining,Shipper→NotifyParty,16,848043.34
Toyota Motor Corporation,"TOYOTA MOTOR SALES U.S.A., INC.
6565 HEADQUARTERS DRIVE, PLANO,, TEXAS 75024 U.S.A",Shipper→NotifyParty,485,844227.05
Toyota Motor Sales,"TOYOTA MOTOR SALES U.S.A., INC.
6565 HEADQUARTERS DRIVE, PLANO,, TEXAS 75024 U.S.A",Consignee→NotifyParty,485,844227.05
Sabic Agri Nutrients Co.,Sabic Americas,Shipper→Consignee,23,834100.89
Eastern Salt Co. Inc.,"EASTERN SALT COMPANY INC.
134 MIDDLE STREET, SUITE 210, LOWELL, MA  01852, ATTN: MS. SHELAGH MAHONEY",Consignee→NotifyParty,19,826852.0
Asociacion De Azucareros De,"CSC SUGAR LLC
33 RIVERSIDE AVE., WESTPORT, CONNECTICUT 06880",Shipper→NotifyParty,6,825460.1
Csc Sugar Llc,"CSC SUGAR LLC
33 RIVERSIDE AVE., WESTPORT, CONNECTICUT 06880",Consignee→NotifyParty,6,825460.1
Ergon Oil Purchasing Inc.,Ergon Oil Purchasing Inc.,Shipper→Consignee,12,822734.24
Vitol,Valero,Consignee→NotifyParty,133,820551.37
Perstorp Polyols Inc.,"GEODIS WILSON USA
75 NORTHFIELD AVE., EDISON, NJ 08837, VERONICA COHEN - 732-623-6621",Consignee→NotifyParty,27,818894.64
Perstorp Oxo Ab,Perstorp Polyols Inc.,Shipper→Consignee,27,818894.64
Perstorp Oxo Ab,"GEODIS WILSON USA
75 NORTHFIELD AVE., EDISON, NJ 08837, VERONICA COHEN - 732-623-6621",Shipper→NotifyParty,27,818894.64
Food Security Solutions Dmcc,Ukt Chicago Inc.,Shipper→Consignee,43,818112.29
Toyota Motor Corporation,"TOYOTA MOTOR SALES USA, INC.
6565 HEADQUARTERS DRIVE, PLANO TEXAS 75024 U.S.A., US, PLANO75024",Shipper→NotifyParty,402,806583.07
Monroe Energy,Monroe Energy,Shipper→NotifyParty,13,802658.72
Zona Franca Argos S.A.S.,Argos Usa,Shipper→Consignee,99,792026.96
Shell,PBF Energy,Consignee→NotifyParty,20,791481.04
Ash Grove Cement Co.,"B.R.ANDERSON &AMP; CO
1011 SW KLICKITAT WAY, STE 203, SEATTLE, WA, US, 98134, TE206-623-1346",Consignee→NotifyParty,90,788209.0
Nnpc Suppliers To Nnpc Trading Sa,Monroe Energy,Shipper→NotifyParty,15,784088.66
Nnpc Suppliers To Nnpc Trading Sa,Monroe Energy,Shipper→Consignee,15,784088.66
ArcelorMittal,Nlmk Pennsylvania Corp.,Shipper→Consignee,16,775034.51
Upm Sales Oy,Upm Naperville,Shipper→Consignee,12604,764172.66
Upm Naperville,"721 LOGISTICS LLC
399 MARKET STREET,  SUITE #220, PHILADELPHIA PA US 19106",Consignee→NotifyParty,12602,764134.72
Upm Sales Oy,"721 LOGISTICS LLC
399 MARKET STREET,  SUITE #220, PHILADELPHIA PA US 19106",Shipper→NotifyParty,12602,764134.72
Kia Motors America Inc.,"KIA MOTORS AMERICA INC
111 PETERS CANYON ROAD, IRVINECA 92606, US",Consignee→NotifyParty,716,763354.38
Shell,Marathon Petroleum,Shipper→Consignee,16,756763.41
Kia,Kia America Inc.,Shipper→Consignee,577,756760.22
Formosa Ha Tinh Steel,Ternium,Shipper→Consignee,16,756661.0
Formosa Ha Tinh Steel,Ternium,Shipper→NotifyParty,16,756661.0
Ep Petroecuador,Shell,Shipper→Consignee,17,740501.41
ArcelorMittal,Am/Ns Calvert Llc,Shipper→Consignee,15,738799.24
"Total Energies Trading Asia Pte., Ltd.",Chevron,Consignee→NotifyParty,24,738623.16
Yara Porsgrunn,Yara North America,Shipper→Consignee,226,737252.3
BP,BP,Shipper→Consignee,33,735390.68
Galtrade Ltd.,Valero,Shipper→Consignee,24,734597.38
Galtrade Ltd.,Valero,Shipper→NotifyParty,24,734597.38
St. Mary's Cement Corp.,St. Mary's Cement Co.,Shipper→Consignee,42,730652.6
K And S Windsor Salt Ltd.,Morton Salt,Shipper→Consignee,23,725640.0
ArcelorMittal,"AM/NS CALVERT LLC
1 THYSSENKRUPP DRIVE, P.O. BOX 456, CALVERT AL, 36513",Shipper→NotifyParty,15,724655.0
ArcelorMittal,"AM/NS CALVERT LLC
1 THYSSENKRUPP DRIVE, P.O. BOX 456, CALVERT AL, 36513",Consignee→NotifyParty,15,724655.0
Trafigura,Chevron,Consignee→NotifyParty,15,722286.0
Titan Cement Company S.A.,The Essex Cement Co. Llc,Shipper→Consignee,18,721420.48
Puraglobe Germany Gmb H,"PURAGLOBE SYNTAINCIS LLC
4420 PENDOLA POINT ROAD, TAMPA, FL 33619, TEL: 001 813-247-1754 EXT 2302",Shipper→NotifyParty,31,721367.91
Puraglobe Syntaincis Llc,"PURAGLOBE SYNTAINCIS LLC
4420 PENDOLA POINT ROAD, TAMPA, FL 33619, TEL: 001 813-247-1754 EXT 2302",Consignee→NotifyParty,31,721367.91
Puraglobe Germany Gmb H,Puraglobe Syntaincis Llc,Shipper→Consignee,31,721367.91
Aramco Americas,ExxonMobil,Shipper→Consignee,9,714536.6799999999
Subaru Corp.,"SUBARU OF AMERICA
ONE SUBARU DRIVE, CAMDEN NEW JERSEY 08103 U.S.A., US, CAMDEN                   08103",Shipper→NotifyParty,805,709986.94
Ferrosource,"FERROSOURCE LLC
27 UNION SQ W 300, NEW YORK, NY 10003",Consignee→NotifyParty,4,708705.01
Global Trade Operations,"FERROSOURCE LLC
27 UNION SQ W 300, NEW YORK, NY 10003",Shipper→NotifyParty,4,708705.01
Global Trade Operations,Ferrosource,Shipper→Consignee,4,708705.01
Heritage Petroleum,Citgo,Shipper→Consignee,9,706040.0700000001
PMI Trading,Citgo,Shipper→NotifyParty,10,702670.03
Sterling Oil Exploration Energy,Monroe Energy,Shipper→NotifyParty,29,701941.0
Mobil Producing Nigeria Unlimited,Monroe Energy,Shipper→NotifyParty,15,701278.56
Socar Trading North America,Citgo,Shipper→Consignee,9,698880.9299999999
Suncor Energy,Valero,Shipper→NotifyParty,14,698193.01
Samarco Mineracao Sa,Nucor Steel,Shipper→NotifyParty,9,695976.0
Samarco Mineracao Sa,Nucor Steel,Shipper→Consignee,9,695976.0
Trafigura,PAR Hawaii Refining,Shipper→Consignee,24,694076.57
Trafigura,PAR Hawaii Refining,Shipper→NotifyParty,24,694076.57
Valero,Citgo,Shipper→NotifyParty,50,689616.09
Gunvor Group,Valero,Shipper→Consignee,33,688781.94
Marathon Petroleum,"MARATHON PETROLUEM  COMPANY LP
1801 E SEPULVEDA B LVD, CARSON, CA 90745, CARSON REFINERY",Consignee→NotifyParty,8,686989.0
PDVSA,Houston Refining,Shipper→NotifyParty,9,685944.72
PMI Trading,Total Specialties Usa Inc.,Shipper→Consignee,16,684079.6799999999
PBF Energy,Delaware City Refining,Shipper→NotifyParty,25,681322.06
Totsa Totalenergies Trading Sa,Citgo,Shipper→NotifyParty,25,673122.76
Compania Minera,"EASTERN SALT COMPANY INC.
134 MIDDLE STREET, SUITE 210, LOWELL, MA  01852, ATTN: MS. SHELAGH MAHONEY",Shipper→NotifyParty,16,666721.0
Marathon Petroleum,Marathon Petroleum,Shipper→NotifyParty,7,662124.62
Lafarge Texada Quarrying,"B.R.ANDERSON &AMP; CO
1011 SW KLICKITAT WAY, STE 203, SEATTLE, WA, US, 98134, TE206-623-1346",Shipper→NotifyParty,81,661385.0
Lafarge North America,Emirates Aluminium (EGA),Shipper→Consignee,29,658448.83
Nuh Cimento Sanayi A.S.,Argos Usa,Shipper→Consignee,18,646405.38
Medcem Global,Cemex,Shipper→Consignee,31,645714.73
"Nippon Steel Trading Co., Ltd.",Hm Southeast Cement Llc,Shipper→Consignee,13,642400.0
"Sk Enmove Co., Ltd.",Sk Enmove Americas Inc.,Shipper→Consignee,137,639383.0
Chevron,Marathon Petroleum,Consignee→NotifyParty,13,625668.15
Abu Dhabi National Oil Company,Chevron,Shipper→Consignee,18,621428.0
Kia,Kia Motors America Inc.,Shipper→Consignee,588,621199.95
Kia,"KIA MOTORS AMERICA INC
111 PETERS CANYON ROAD, IRVINECA 92606, US",Shipper→NotifyParty,584,621185.95
Marathon International Product,Marathon Petroleum,Shipper→Consignee,24,619284.9299999999
Argos Usa,"ARGOS USA LLC
C3015 WINDWARD PLAZA DR, ALPHARETTA, GA. 30005",Consignee→NotifyParty,13,618978.0
Nuh Cimento Sanayi A.S.,"ARGOS USA LLC
C3015 WINDWARD PLAZA DR, ALPHARETTA, GA. 30005",Shipper→NotifyParty,13,618978.0
Yara North America,"YARA NORTH AMERICA INC.
100 NORTH TAMPA STREET,  SUITE 3200, TAMPA, FL 33602, LEIGH RAYNER / 813-222-3803",Consignee→NotifyParty,210,618534.37
Socar Trading North America,Citgo,Shipper→NotifyParty,8,618308.9299999999
Statoil Brasil Oleo E Gas Ltda,Chevron,Shipper→Consignee,8,618081.0
Circon Enviromental,"CIRCON ENVIRONMENTAL
10020 BAYPORT BLVD, PASADENA, TX 77507",Consignee→NotifyParty,25,611805.0
PMI Trading,"PMI NORTHAMERICA SA DE CV
777 NORTH ELDRIDGE PARKWAY, SUITE 800, HOUSTON TX USA 77079",Consignee→NotifyParty,8,608368.0
Vissai Ninh Binh Joint Stock,Glacier Northwest,Shipper→Consignee,21,607226.0
Vissai Ninh Binh Joint Stock,Glacier Northwest,Shipper→NotifyParty,21,607226.0
Sucocitrico Cutrale Ltda,Citrus Products Inc.,Shipper→Consignee,61,600373.03
Ubs Switzerland Ag,Valero,Consignee→NotifyParty,18,599897.86
Chevron,Houston Refining,Shipper→NotifyParty,13,597645.5
Medcem Global,Houston Cement Co.,Shipper→Consignee,14,594518.0
Gunvor Group,Valero,Shipper→NotifyParty,31,590866.94
Kia,"KIA AMERICA INC.
111 PETERS CANYON RO, CALIFORNIA 92606, U.S.A",Shipper→NotifyParty,443,590230.24
Kia America Inc.,"KIA AMERICA INC.
111 PETERS CANYON RO, CALIFORNIA 92606, U.S.A",Consignee→NotifyParty,443,590230.24
Valero,Citgo,Consignee→NotifyParty,43,587457.69
Aramco Americas,Monroe Energy,Consignee→NotifyParty,7,586120.14
Trafigura,PBF Energy,Shipper→Consignee,13,583708.73
Marathon International Product,Marathon Petroleum,Shipper→NotifyParty,23,583367.1799999999
Monroe Energy,Monroe Energy,Shipper→Consignee,11,582078.72
Trafigura,Monroe Energy,Shipper→NotifyParty,8,581872.0
Gunvor Group,Marathon Petroleum,Shipper→NotifyParty,5,573704.75
Gunvor Group,Marathon Petroleum,Shipper→Consignee,5,573704.75
Suncor Energy,Citgo,Consignee→NotifyParty,5,563852.48
Df Young,General Motors Corp.,Shipper→Consignee,1152,562491.06
"Sct Co., Ltd.",Hawaiian Cement Cement Division,Shipper→Consignee,16,560800.0
Sao Martinho Sa,Belfius Bank Brussels,Shipper→Consignee,4,560708.1599999999
Belfius Bank Brussels,"ALCOTRA NORTH AMERICA INC.
2603 AUGUSTA DR, HOUSTON, TX 77057",Consignee→NotifyParty,4,560708.1599999999
Sao Martinho Sa,"ALCOTRA NORTH AMERICA INC.
2603 AUGUSTA DR, HOUSTON, TX 77057",Shipper→NotifyParty,4,560708.1599999999
Citrosuco Sa Agroindustria,"CITROSUCO NA INC
5937 HIGHWAY 60 EAST, LAKE WALES, FL, 33853, USA",Shipper→NotifyParty,64,559085.77
