Keyword_Group,Record_Count,Tonnage,Pct_Records,Pct_Tonnage,Top_Keywords,Priority
Petroleum Products,8455,31348974.27,7.628250239087678,23.30880331046266,"FUEL, OIL, DIESEL, GASOLINE, JET, CRUDE, PETROLEUM, NAPHTHA, BITUMEN, ASPHALT",HIGH
Steel Products,13451,25060818.869999997,12.135729623414353,18.633391089894854,"STEEL, COIL, PLATE, SHEET, BAR, BILLET, ROD, WIRE, BEAM, ANGLE",HIGH
Food & Agriculture,7794,23653517.14,7.03188437178585,17.587024502569708,"FOOD, GRAIN, WHEAT, CORN, SOYBEAN, RICE, SUGAR, FLOUR, MEAL, FEED",HIGH
Minerals & Ores,2910,20639241.869999997,2.6254533643696205,15.34582998095955,"ORE, IRON, COPPER, ZINC, LEAD, NICKEL, ALUMINUM, BAUXITE, COAL, COKE",HIGH
Vehicles & Parts,14540,15768056.61,13.118244645338242,11.723973069908377,"VEHICLE, CAR, TRUCK, TRACTOR, BUS, CHASSIS, WHEEL, AXLE, TRANSMISSION",HIGH
Chemicals,1154,6121023.6899999995,1.041159169237987,4.551145310850783,"ACID, CHEMICAL, CAUSTIC, SODA, SULFUR, AMMONIA, METHANOL, ETHANOL, GLYCOL, SOLVENT",MEDIUM
Construction Materials,1116,3789086.39,1.0068748985005143,2.8172873737492465,"CEMENT, CONCRETE, BRICK, TILE, GYPSUM, AGGREGATE, SAND, GRAVEL, STONE",MEDIUM
Fertilizers,457,2421693.2900000005,0.4123134665006586,1.8005939233838042,"FERTILIZER, UREA, PHOSPHATE, POTASH, NITRATE, AMMONIUM, NPK",MEDIUM
Plastics,738,2188109.91,0.6658366264277594,1.626918414446233,"PLASTIC, POLYETHYLENE, POLYPROPYLENE, PVC, PET, RESIN, GRANULES, PELLETS",MEDIUM
Machinery & Equipment,13981,1684908.45,12.613904978436999,1.2527746304851113,"MACHINE, MACHINERY, EQUIPMENT, PARTS, SPARE, ENGINE, MOTOR, PUMP, VALVE, GEAR",MEDIUM
Wood & Paper,4910,596307.04,4.429888666341868,0.44337028026161923,"WOOD, LUMBER, TIMBER, LOG, PAPER, PULP, CARDBOARD, FIBERBOARD",LOW
Rubber,1633,245167.56,1.4733214240603403,0.18228865751485568,"RUBBER, TIRE, TYRE, LATEX",LOW
Electronics,911,181116.16,0.8219202800483589,0.1346647234268914,"ELECTRONICS, COMPUTER, MONITOR, PHONE, CABLE, CIRCUIT, SEMICONDUCTOR, CHIP",LOW
Textiles,324,129119.01999999999,0.29231851891950417,0.09600345500617537,"FABRIC, TEXTILE, COTTON, YARN, CLOTH, APPAREL, GARMENT, CLOTHING",LOW
Glass & Ceramics,109,35479.60999999999,0.0983417239574875,0.02638004178061179,"GLASS, CERAMIC, PORCELAIN",LOW
